level	page_num	par_num	block_num	line_num	word_num	left	top	width	height	conf	text
4	1	31	0	0	0	352.550000	106.911230	4.430800	5.372400	-1	###LINE###
5	1	31	0	0	0	352.55	106.91	4.43	5.37	100	13
3	1	32	0	0	0	368.500000	70.061230	33.580800	23.522400	-1	###FLOW###
4	1	32	0	0	0	369.050000	70.061230	29.616400	5.372400	-1	###LINE###
5	1	32	0	0	0	369.05	70.06	7.30	5.37	100	TÊN
5	1	32	0	0	1	377.30	70.06	8.37	5.37	100	TIỂU
5	1	32	0	0	2	392.15	70.06	6.52	5.37	100	MÃ
4	1	32	0	1	0	368.500000	76.111230	32.995600	5.372400	-1	###LINE###
5	1	32	0	1	0	368.50	76.11	8.87	5.37	100	KHỐI
5	1	32	0	1	1	378.40	76.11	7.29	5.37	100	CẤP
5	1	32	0	1	2	389.40	76.11	12.10	5.37	100	NHÓM
4	1	32	0	2	0	376.750000	82.161230	2.230800	5.372400	-1	###LINE###
5	1	32	0	2	0	376.75	82.16	2.23	5.37	100	2
4	1	32	0	3	0	388.850000	82.161230	13.230800	5.372400	-1	###LINE###
5	1	32	0	3	0	388.85	82.16	9.93	5.37	100	BỆNH
5	1	32	0	3	1	399.85	82.16	2.23	5.37	100	3
4	1	32	0	4	0	390.500000	88.211230	11.048400	5.372400	-1	###LINE###
5	1	32	0	4	0	390.50	88.21	4.49	5.37	100	KÝ
5	1	32	0	4	1	396.00	88.21	5.55	5.37	100	TỰ
3	1	33	0	0	0	375.100000	106.911230	4.430800	5.372400	-1	###FLOW###
4	1	33	0	0	0	375.100000	106.911230	4.430800	5.372400	-1	###LINE###
5	1	33	0	0	0	375.10	106.91	4.43	5.37	100	14
3	1	34	0	0	0	408.100000	70.061230	28.138000	17.472400	-1	###FLOW###
4	1	34	0	0	0	409.200000	70.061230	25.577200	5.372400	-1	###LINE###
5	1	34	0	0	0	409.20	70.06	25.58	5.37	100	3-CHARACTER
4	1	34	0	1	0	408.100000	76.111230	28.138000	5.372400	-1	###LINE###
5	1	34	0	1	0	408.10	76.11	28.14	5.37	100	SUB-CATEGORY
4	1	34	0	2	0	416.900000	82.161230	11.497200	5.372400	-1	###LINE###
5	1	34	0	2	0	416.90	82.16	11.50	5.37	100	NAME
3	1	35	0	0	0	393.800000	106.911230	4.430800	5.372400	-1	###FLOW###
4	1	35	0	0	0	393.800000	106.911230	4.430800	5.372400	-1	###LINE###
5	1	35	0	0	0	393.80	106.91	4.43	5.37	100	15
3	1	36	0	0	0	420.200000	106.911230	4.430800	5.372400	-1	###FLOW###
4	1	36	0	0	0	420.200000	106.911230	4.430800	5.372400	-1	###LINE###
5	1	36	0	0	0	420.20	106.91	4.43	5.37	100	16
3	1	37	0	0	0	472.500000	56.289727	6.500000	12.067717	-1	###FLOW###
4	1	37	0	0	0	472.500000	56.289727	6.500000	12.067717	-1	###LINE###
5	1	37	0	0	0	472.50	56.29	6.50	12.07	100	4
3	1	38	0	0	0	443.850000	70.061230	25.348400	11.422400	-1	###FLOW###
4	1	38	0	0	0	446.050000	70.061230	20.345600	5.372400	-1	###LINE###
5	1	38	0	0	0	446.05	70.06	7.30	5.37	100	TÊN
5	1	38	0	0	1	454.30	70.06	12.10	5.37	100	NHÓM
4	1	38	0	1	0	443.850000	76.111230	25.348400	5.372400	-1	###LINE###
5	1	38	0	1	0	443.85	76.11	9.93	5.37	100	BỆNH
5	1	38	0	1	1	454.85	76.11	2.23	5.37	100	3
5	1	38	0	1	2	458.15	76.11	4.49	5.37	100	KÝ
5	1	38	0	1	3	463.65	76.11	5.55	5.37	100	TỰ
3	1	39	0	0	0	454.300000	106.911230	4.430800	5.372400	-1	###FLOW###
4	1	39	0	0	0	454.300000	106.911230	4.430800	5.372400	-1	###LINE###
5	1	39	0	0	0	454.30	106.91	4.43	5.37	100	17
3	1	40	0	0	0	475.750000	70.061230	9.926400	11.422400	-1	###FLOW###
4	1	40	0	0	0	476.850000	70.061230	6.516400	5.372400	-1	###LINE###
5	1	40	0	0	0	476.85	70.06	6.52	5.37	100	MÃ
4	1	40	0	1	0	475.750000	76.111230	9.926400	5.372400	-1	###LINE###
5	1	40	0	1	0	475.75	76.11	9.93	5.37	100	BỆNH
3	1	41	0	0	0	478.500000	106.911230	4.430800	5.372400	-1	###FLOW###
4	1	41	0	0	0	478.500000	106.911230	4.430800	5.372400	-1	###LINE###
5	1	41	0	0	0	478.50	106.91	4.43	5.37	100	18
3	1	42	0	0	0	491.700000	70.061230	13.252800	23.522400	-1	###FLOW###
4	1	42	0	0	0	495.000000	70.061230	6.516400	5.372400	-1	###LINE###
5	1	42	0	0	0	495.00	70.06	6.52	5.37	100	MÃ
4	1	42	0	1	0	493.350000	76.111230	9.926400	5.372400	-1	###LINE###
5	1	42	0	1	0	493.35	76.11	9.93	5.37	100	BỆNH
4	1	42	0	2	0	491.700000	82.161230	13.252800	5.372400	-1	###LINE###
5	1	42	0	2	0	491.70	82.16	13.25	5.37	100	KHÔNG
4	1	42	0	3	0	495.000000	88.211230	8.373200	5.372400	-1	###LINE###
5	1	42	0	3	0	495.00	88.21	8.37	5.37	100	DẤU
3	1	43	0	0	0	513.150000	70.061230	27.997200	17.472400	-1	###FLOW###
4	1	43	0	0	0	513.150000	70.061230	27.997200	5.372400	-1	###LINE###
5	1	43	0	0	0	513.15	70.06	15.35	5.37	100	DISEASE
5	1	43	0	0	1	529.65	70.06	11.50	5.37	100	NAME
4	1	43	0	1	0	517.550000	76.111230	19.280800	5.372400	-1	###LINE###
5	1	43	0	1	0	517.55	76.11	9.57	5.37	100	WHO
5	1	43	0	1	1	528.00	76.11	8.83	5.37	100	2019
4	1	43	0	2	0	519.200000	82.161230	17.872800	5.372400	-1	###LINE###
5	1	43	0	2	0	519.20	82.16	17.87	5.37	100	(ENGLISH)
3	1	44	0	0	0	547.800000	70.061230	39.630800	17.472400	-1	###FLOW###
4	1	44	0	0	0	548.900000	70.061230	38.002800	5.372400	-1	###LINE###
5	1	44	0	0	0	548.90	70.06	22.76	5.37	100	ADDITIONAL
5	1	44	0	0	1	572.55	70.06	14.35	5.37	100	CODING
4	1	44	0	1	0	547.800000	76.111230	39.630800	5.372400	-1	###LINE###
5	1	44	0	1	0	547.80	76.11	19.20	5.37	100	GUIDANCE
5	1	44	0	1	1	568.15	76.11	9.57	5.37	100	WHO
5	1	44	0	1	2	578.60	76.11	8.83	5.37	100	2019
4	1	44	0	2	0	559.350000	82.161230	17.872800	5.372400	-1	###LINE###
5	1	44	0	2	0	559.35	82.16	17.87	5.37	100	(ENGLISH)
3	1	45	0	0	0	525.250000	106.911230	4.430800	5.372400	-1	###FLOW###
4	1	45	0	0	0	525.250000	106.911230	4.430800	5.372400	-1	###LINE###
5	1	45	0	0	0	525.25	106.91	4.43	5.37	100	20
3	1	46	0	0	0	565.950000	106.911230	4.430800	5.372400	-1	###FLOW###
4	1	46	0	0	0	565.950000	106.911230	4.430800	5.372400	-1	###LINE###
5	1	46	0	0	0	565.95	106.91	4.43	5.37	100	21
3	1	47	0	0	0	496.650000	106.911230	4.430800	5.372400	-1	###FLOW###
4	1	47	0	0	0	496.650000	106.911230	4.430800	5.372400	-1	###LINE###
5	1	47	0	0	0	496.65	106.91	4.43	5.37	100	19
3	1	48	0	0	0	606.650000	70.061230	18.176400	5.372400	-1	###FLOW###
4	1	48	0	0	0	606.650000	70.061230	18.176400	5.372400	-1	###LINE###
5	1	48	0	0	0	606.65	70.06	7.30	5.37	100	TÊN
5	1	48	0	0	1	614.90	70.06	9.93	5.37	100	BỆNH
3	1	49	0	0	0	642.400000	70.061230	31.816400	17.472400	-1	###FLOW###
